MpNombre,MpCodigo
Albania,2
Albán,2
Argelia,3
Armenia,2
Balboa,2
Barbosa,2
Belén,2
Betulia,2
Bolívar,3
Briceño,2
Buenavista,4
Cabrera,2
Calamar,2
Caldas,2
Candelaria,2
Chima,2
Colón,2
Concepción,2
Córdoba,3
El Carmen,3
El Peñón,2
El Tambo,2
Florencia,2
Granada,2
Guadalupe,3
Guamal,2
Jericó,2
La Paz,2
La Unión,4
La Vega,2
La Victoria,2
Miraflores,2
Morales,2
Mosquera,2
Nariño,2
Palestina,2
Puerto Colombia,2
Puerto Rico,2
Páez,2
Restrepo,2
Ricaurte,2
Rionegro,2
Riosucio,2
Sabanalarga,3
Salamina,2
San Andrés,2
San Bernardo,2
San Carlos,2
San Cayetano,2
San Francisco,3
San Luis,2
San Martín,2
San Pablo,2
San Pedro,2
Santa Bárbara,3
Santa María,2
Santa Rosa,2
Santiago,2
Santuario,2
Sucre,2
Suárez,2
Toledo,2
Venecia,2
Villanueva,4
