MpCodigo;Divipola;Departamento;Municipio;Estimación Inseguridad Alimentaria Moderada-Grave;IRCA;Suficiencia de vías;Cantidad tipo de cultivos;temperature_2m_mean_c;NDVI;Pob rural;Cereales;Cultivos para condimentos, bebidas medicinales y aromáticas;Cultivos tropicales tradicionales;Frutales;Hortalizas;Leguminosas;Oleaginosas;Raíces y tubérculos;NDVI;EVI;NDMI;NDWI;MSI;BSI;NDBI;Zscore_NDVI;KPI;KPI_Quintile;Cluster
5001;05001;Antioquia;Medellín;0.279852411;1.3;13.47925031;6;19.54516129;0.567707764;0.019245806;0;28;3779.34;2862.88;4829.18;34.07;0;1340;0.419156801;0.172438696;-0.516862995;0.74151376;-0.136426734;-0.172438696;0.019245806;0.681221994;0.0370;Muy Bajo;3
5002;05002;Antioquia;Abejorral;0.567459832;0.4;19.83427051;5;16.66451613;0.718321628;0.600416135;280;0;14719.74;74792.25;0;255;0;1650;0.554125744;0.24083953;-0.642841645;0.624528603;-0.198021683;-0.24083953;0.600416135;0.750210428;0.69;Alto;1
5004;05004;Antioquia;Abriaquí;0.402903752;7.2;13.31797113;6;15.69354839;0.735407231;0.675454222;41;0;4404.48;2509;155.72;120.8;0;18;0.515555388;0.29354014;-0.647881883;0.557323769;-0.251050013;-0.29354014;0.675454222;0.509613813;0.851;Muy Alto;3
5021;05021;Antioquia;Alejandría;0.36402692;3.2;12.44649996;6;18.64193548;0.689678474;0.438789026;6.01;0;18375.57;356.16;5.2;37.5;0;33;0.531253458;0.210414343;-0.601626873;0.815431748;-0.2053437;-0.210414343;0.438789026;0.792753283;0.48;Medio;2
5030;05030;Antioquia;Amagá;0.275988164;40.6;17.24748757;7;19.13225806;0.704745821;0.509069329;39.18;5.4;3394.09;1436.2;192.5;7.8;0;274.5;0.582116144;0.235272808;-0.615612542;0.630308733;-0.199157361;-0.235272808;0.509069329;0.386599062;0.881;Muy Alto;2
5031;05031;Antioquia;Amalfi;0.231007731;0;11.12264063;5;19.15806452;0.71826071;0.423590556;176;0;32860.58;1861;0;171;0;1200;0.604918319;0.256475497;-0.633976003;0.607070076;-0.223352692;-0.256475497;0.423590556;0.281459445;0.431;Medio;3
5034;05034;Antioquia;Andes;0.279894196;1.6;12.77990233;6;15.41612903;0.75847975;0.510723654;207.24;0;29336.86;22455.35;1105.75;123.96;0;540;0.60541571;0.295702671;-0.6715254;0.552995735;-0.258415564;-0.295702671;0.510723654;1.487811241;0.358;Bajo;1
5036;05036;Antioquia;Angelópolis;0.246651965;19.7;17.67824465;6;19.33225806;0.68271818;0.592132839;26.01;0;552.91;2791.9;240;12.58;0;360;0.595979812;0.26252957;-0.590727167;0.591294449;-0.223672262;-0.26252957;0.592132839;0.318801954;0.722;Alto;2
5038;05038;Antioquia;Angostura;0.241048746;6.3;15.07427176;6;16.17096774;0.719121942;0.748701143;174;0;71747.22;1574.6;47.5;222;0;2.5;0.533294228;0.236254691;-0.64896687;0.632222973;-0.193023465;-0.236254691;0.748701143;1.111858996;0.653;Alto;1
5040;05040;Antioquia;Anorí;0.267651909;3.2;6.546314907;5;20.47419355;0.747357259;0.557546946;81.75;0;37731.41;553.5;0;48.3;0;1848;0.604958605;0.266751924;-0.661132971;0.590135525;-0.231754823;-0.266751924;0.557546946;0.679990551;0.624;Alto;3
5042;05042;Antioquia;Santa Fé De Antioquia;0.328187181;6.3;12.16137593;6;17.56451613;0.619904508;0.352204356;14.4;0;2507.42;265.5;100;16.8;0;10;0.463030574;0.159620707;-0.547839006;0.743611759;-0.123388126;-0.159620707;0.352204356;-0.365534013;0.574;Medio;3
5044;05044;Antioquia;Anzá;0.296552661;20.7;12.46007484;5;21.82580645;0.674044802;0.791433407;44.25;0;2360.21;8918.6;0;5.5;0;120;0.504181231;0.198385608;-0.590659075;0.684020526;-0.161276785;-0.198385608;0.791433407;-0.006322598;0.923;Muy Alto;2
5045;05045;Antioquia;Apartadó;0.230081996;2.9;6.722854182;4;24.42258065;0.771867998;0.166273971;2803.6;0;951.5;449411.5;0;0;0;4928;0.682068214;0.315177637;-0.671452809;0.536161589;-0.284065321;-0.315177637;0.166273971;1.172220326;0.125;Muy Bajo;3
5051;05051;Antioquia;Arboletes;0.327667322;0;9.301511307;4;26.06129032;0.768453421;0.614848456;4512.03;0;50;31472;0;0;0;15850;0.588000323;0.227045632;-0.672164771;0.641730322;-0.196856282;-0.227045632;0.614848456;0.983171242;0.587;Medio;3
5055;05055;Antioquia;Argelia;0.435584761;0;9.862345557;5;20.83225806;0.758197848;0.526110773;158;0;6131.39;746.72;0;78.6;0;56;0.594358673;0.280411814;-0.665221403;0.567022981;-0.245108266;-0.280411814;0.526110773;0.402635881;0.733;Alto;3
5059;05059;Antioquia;Armenia;0.245533206;0.6;11.50940223;5;21.6;0.706715798;0.638983051;12.8;0;528.29;394.75;6;7.8;0;0;0.551429033;0.210684366;-0.621062748;0.666117445;-0.173520986;-0.210684366;0.638983051;0.12511012;0.7;Alto;3
5079;05079;Antioquia;Barbosa;0.281031442;9.5;19.88395748;6;20.93225806;0.73446763;0.574139154;74.2;0;23414.73;1427.6;2792;959.1;0;268;0.550143825;0.230659224;-0.657571219;0.635028551;-0.18933397;-0.230659224;0.574139154;1.599280851;0.396;Bajo;1
5086;05086;Antioquia;Belmira;0.223046576;5.2;21.83848561;5;10.5483871;0.671712913;0.708502682;247.78;0;0;731.7;64;405.67;0;10550;0.51017019;0.268750681;-0.601252449;0.585544407;-0.220572865;-0.268750681;0.708502682;0.105472336;0.604;Alto;1
5088;05088;Antioquia;Bello;0.342910732;0.2;9.518922257;5;16.2516129;0.63445998;0.035803999;0;0;113.33;144.2;688.1;3.56;0;1710;0.476454802;0.215364286;-0.574117587;0.676690005;-0.171122787;-0.215364286;0.035803999;0.626929253;0.077;Muy Bajo;3
5091;05091;Antioquia;Betania;0.183084736;11.2;19.29138265;5;21.25806452;0.796167137;0.628685704;159.3;0;9243.53;1988.74;885;49.95;0;0;0.596113543;0.310858377;-0.705575046;0.534434593;-0.278075499;-0.310858377;0.628685704;1.383724601;0.463;Medio;1
5093;05093;Antioquia;Betulia;0.310736558;5.5;13.33787852;5;19.41290323;0.615169284;0.699057715;27.5;0;16289.17;14415;0;6.3;0;6.13;0.50211577;0.22139538;-0.536735307;0.651785968;-0.180828079;-0.22139538;0.699057715;-0.981672069;0.899;Muy Alto;3
5101;05101;Antioquia;Ciudad Bolívar;0.173801412;2.6;13.57526546;3;21.68064516;0.786689303;0.382910819;0;0;11917.07;3833.4;0;0;0;300;0.587370353;0.29342079;-0.692791573;0.556983731;-0.260449783;-0.29342079;0.382910819;1.089284821;0.165;Muy Bajo;1
